state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
AR,134,408,no,yes,34,151.6,148,25.77,206.6,120,17.56,195.7,37,8.81,8.2,3,2.21,4,True
AK,69,408,no,no,0,189.6,56,32.23,203.9,33,17.33,109.6,26,4.93,11.2,10,3.02,4,False
CO,172,415,yes,yes,39,119.8,75,20.37,223.2,149,18.97,184.3,25,8.29,11.3,14,3.05,2,False
TN,121,510,no,no,0,178.3,112,30.31,148.9,70,12.66,292.6,22,13.17,7.0,4,1.89,5,False
AR,64,510,no,no,0,156.7,5,26.64,167.9,32,14.27,190.9,119,8.59,5.9,4,1.59,3,False
NH,157,510,no,no,0,242.5,123,41.22,181.1,5,15.39,143.8,102,6.47,9.1,19,2.46,9,False
LA,156,408,no,no,0,153.9,133,26.16,225.0,15,19.12,226.8,64,10.21,12.3,9,3.32,1,False
MT,139,415,no,no,0,181.5,52,30.86,123.1,108,10.46,164.0,73,7.38,5.9,9,1.59,3,False
UT,121,408,no,yes,32,189.0,131,32.13,208.8,22,17.75,196.4,46,8.84,7.6,5,2.05,5,True
ND,65,510,no,no,0,157.3,8,26.74,240.8,145,20.47,131.5,60,5.92,11.9,5,3.21,5,True
GA,107,415,no,no,0,221.6,68,37.67,203.5,13,17.3,144.0,173,6.48,7.0,5,1.89,8,False
OK,147,415,no,no,0,232.8,73,39.58,204.8,49,17.41,239.8,131,10.79,12.9,6,3.48,7,False
IN,137,415,no,no,0,153.6,110,26.11,185.6,60,15.78,206.3,158,9.28,17.4,17,4.7,4,False
NM,155,510,yes,no,0,195.8,86,33.29,204.2,35,17.36,158.1,3,7.11,7.7,3,2.08,9,True
WV,162,415,yes,no,0,129.9,3,22.08,178.5,14,15.17,206.5,28,9.29,14.1,13,3.81,2,False
IA,172,415,no,no,0,210.4,36,35.77,192.5,4,16.36,167.2,72,7.52,10.9,10,2.94,3,False
DE,196,408,no,yes,10,192.6,70,32.74,178.5,52,15.17,157.7,78,7.1,7.8,6,2.11,4,False
IN,100,408,no,no,0,160.3,5,27.25,191.9,47,16.31,262.9,43,11.83,14.5,17,3.92,0,False
MN,82,415,no,no,0,197.8,50,33.63,184.8,10,15.71,242.3,2,10.9,11.1,19,3.0,8,False
SC,143,415,no,yes,27,212.0,98,36.04,140.8,1,11.97,198.9,78,8.95,13.3,1,3.59,3,False
MA,51,408,no,no,0,246.4,95,41.89,124.2,86,10.56,207.8,120,9.35,16.6,1,4.48,7,False
KS,141,408,no,no,0,201.5,141,34.26,205.0,23,17.42,199.5,138,8.98,9.7,6,2.62,4,False
VT,83,408,no,no,0,228.0,10,38.76,231.8,67,19.7,226.3,133,10.18,11.5,10,3.11,4,False
LA,177,510,no,no,0,282.9,9,48.09,280.3,78,23.83,156.8,46,7.06,6.9,17,1.86,1,True
WA,198,510,no,yes,5,124.2,12,21.11,257.0,11,21.85,246.6,6,11.1,8.7,19,2.35,7,False
MS,112,408,no,no,0,243.3,120,41.36,247.1,66,21.0,219.1,114,9.86,9.8,6,2.65,9,False
MT,56,415,no,yes,26,132.5,161,22.52,212.7,159,18.08,185.8,109,8.36,10.6,19,2.86,6,True
MO,204,408,no,no,0,141.5,59,24.06,207.1,35,17.6,173.7,67,7.82,4.0,4,1.08,1,False
VT,179,510,no,no,0,179.4,4,30.5,160.8,148,13.67,245.4,0,11.04,14.3,1,3.86,5,False
SD,165,415,no,yes,39,145.1,159,24.67,155.0,111,13.18,191.9,76,8.64,11.8,13,3.19,8,False
NH,145,510,no,no,0,136.1,11,23.14,210.7,121,17.91,162.3,42,7.3,11.4,6,3.08,7,False
IA,186,415,no,no,0,176.7,140,30.04,158.4,136,13.46,179.2,155,8.06,15.7,9,4.24,9,False
VT,215,510,yes,no,0,162.0,84,27.54,196.4,43,16.69,241.5,156,10.87,14.5,17,3.92,2,False
AL,218,415,no,no,0,144.1,116,24.5,73.6,58,6.26,113.0,17,5.08,35.03639192343847,7,9.46,6,False
MO,157,415,no,no,0,128.6,121,21.86,224.8,151,19.11,180.8,86,8.14,8.4,15,2.27,3,True
CT,161,415,no,no,0,257.0,40,43.69,148.2,126,12.6,257.8,72,11.6,11.7,13,3.16,3,False
FL,60,415,no,no,0,115.2,47,19.58,128.2,62,10.9,190.9,106,8.59,14.3,8,3.86,6,False
MS,219,510,no,yes,9,170.9,50,29.05,237.8,40,20.21,214.7,5,9.66,9.6,5,2.59,6,False
AL,217,510,no,no,0,240.4,117,40.87,250.1,75,21.26,258.7,143,11.64,12.5,6,3.38,0,False
UT,120,415,no,no,0,223.7,95,38.03,196.7,106,16.72,248.2,128,11.17,14.8,8,4.0,0,False
DE,183,415,no,no,0,192.6,75,32.74,164.4,129,13.97,176.2,21,7.93,12.8,6,3.46,5,True
MS,138,510,no,no,0,146.3,45,24.87,237.6,94,20.2,193.0,45,8.68,5.5,8,1.48,1,False
HI,175,415,yes,no,0,179.0,99,30.43,161.8,27,13.75,248.9,150,11.2,6.7,20,1.81,2,False
KY,23,415,yes,no,0,119.3,37,20.28,193.0,143,16.4,250.7,148,11.28,15.6,6,4.21,1,False
DE,213,415,no,yes,40,164.6,91,27.98,269.8,58,22.93,195.2,50,8.78,10.3,11,2.78,1,False
OH,149,408,no,yes,44,163.8,140,27.85,220.1,128,18.71,197.1,127,8.87,10.9,16,2.94,7,False
OH,235,415,no,no,0,169.0,149,28.73,198.6,85,16.88,214.5,94,9.65,11.6,19,3.13,7,False
NC,13,408,no,no,0,137.4,129,23.36,186.9,0,15.89,273.8,37,12.32,14.0,20,3.78,5,False
CA,101,415,no,no,0,88.4,92,15.03,203.2,30,17.27,257.6,155,11.59,7.8,11,2.11,2,False
TN,161,510,no,no,0,247.6,76,42.09,214.6,21,18.24,237.4,43,10.68,8.8,4,2.38,4,False
RI,24,408,no,no,0,235.6,12,40.05,143.6,118,12.21,141.8,90,6.38,7.2,17,1.94,6,False
SD,108,408,no,no,0,227.2,56,38.62,262.6,27,22.32,185.2,166,8.33,4.2,4,1.13,4,False
NV,11,415,no,no,0,200.4,161,34.07,177.6,115,15.1,188.0,169,8.46,11.1,4,3.0,14,False
CT,17,415,no,no,0,189.2,146,32.16,190.6,75,16.2,276.6,41,12.45,7.6,6,2.05,9,True
FL,196,408,no,no,0,142.5,136,24.22,242.5,26,20.61,187.1,59,8.42,12.7,2,3.43,6,False
DE,175,510,no,yes,38,148.3,115,25.21,193.8,86,16.47,267.7,125,12.05,8.3,0,2.24,3,False
ID,25,510,no,no,0,258.6,94,43.96,245.9,128,20.9,169.2,56,7.61,6.2,5,1.67,9,False
ND,94,415,no,no,0,270.9,160,46.05,198.6,123,16.88,173.5,76,7.81,13.0,6,3.51,9,False
NC,201,510,no,no,0,170.0,154,28.9,206.1,106,17.52,226.0,95,10.17,11.5,7,3.11,5,False
WV,21,510,yes,no,0,180.2,129,30.63,212.0,129,18.02,284.7,6,12.81,9.5,13,2.57,8,False
MN,84,415,no,no,0,219.5,78,37.32,220.1,94,18.71,188.6,50,8.49,9.7,14,2.62,3,False
MS,211,510,no,yes,37,185.0,56,31.45,229.5,65,19.51,61.6,110,2.77,11.7,6,3.16,9,False
OR,211,415,no,no,0,189.1,94,32.15,254.7,18,21.65,115.5,31,5.2,14.8,6,4.0,0,False
OH,140,408,no,no,0,176.8,56,30.06,251.6,155,21.39,216.1,6,9.72,11.1,0,3.0,7,False
UT,37,415,no,yes,6,129.4,143,22.0,160.5,166,13.64,120.4,75,5.42,11.3,8,3.05,3,False
SC,42,408,no,no,0,159.9,106,27.18,275.2,18,23.39,153.3,167,6.9,8.7,6,2.35,7,False
MI,145,408,no,no,0,172.8,78,29.38,114.3,126,9.72,200.7,142,9.03,9.3,19,2.51,8,False
NE,101,510,yes,no,0,43.9,133,7.46,168.8,115,14.35,67.7,58,3.05,0.7,6,0.19,7,False
OH,48,510,no,no,0,184.7,13,31.4,194.0,63,16.49,179.5,112,8.08,7.4,17,2.0,0,False
AL,103,510,no,no,0,305.4,26,51.92,141.5,57,12.03,137.1,84,6.17,7.0,13,1.89,8,False
OH,28,415,no,no,0,156.8,37,26.66,215.3,16,18.3,119.0,139,5.36,6.9,14,1.86,4,False
OR,41,510,no,yes,7,181.8,146,30.91,238.7,78,20.29,156.7,76,7.05,8.9,17,2.4,7,False
WA,99,408,no,no,0,134.6,164,22.88,164.7,40,14.0,142.3,169,6.4,9.2,9,2.48,5,True
IN,47,510,no,no,0,120.9,126,20.55,224.6,4,19.09,225.4,38,10.14,7.0,2,1.89,6,False
AZ,240,510,no,no,0,163.3,3,27.76,243.7,22,20.71,264.6,62,11.91,13.5,10,3.65,2,False
AL,146,415,no,no,0,214.0,57,36.38,102.3,125,8.7,180.3,129,8.11,11.7,0,3.16,8,False
CA,206,415,no,yes,35,167.4,136,28.46,209.9,9,17.84,167.8,28,7.55,10.6,1,2.86,8,False
MT,227,408,yes,no,0,159.8,112,27.17,220.0,67,18.7,177.6,60,7.99,11.8,15,3.19,9,False
IN,236,415,no,no,0,206.8,142,35.16,154.2,139,13.11,140.2,28,6.31,5.2,2,1.4,1,False
RI,105,510,no,yes,49,190.8,3,32.44,140.1,110,11.91,130.4,37,5.87,5.1,16,1.38,3,False
NE,124,415,no,no,0,195.1,51,33.17,165.9,137,14.1,111.1,6,5.0,13.4,2,3.62,3,False
FL,199,408,no,no,0,244.3,145,41.53,191.5,59,16.28,128.2,29,5.77,16.7,10,4.51,0,False
IA,233,510,no,no,0,237.5,98,40.38,162.7,126,13.83,288.1,114,12.96,10.2,3,2.75,3,True
IA,13,408,yes,no,0,260.8,92,44.34,229.3,29,19.49,162.7,163,7.32,16.3,6,4.4,2,False
MT,210,415,yes,yes,48,114.5,116,19.46,222.7,113,18.93,41.2,169,1.85,10.0,15,2.7,1,False
TN,229,415,yes,no,0,226.3,3,38.47,220.2,151,18.72,168.3,3,7.57,8.0,16,2.16,5,False
IL,141,408,no,yes,29,268.9,84,45.71,265.2,68,22.54,114.1,4,5.13,12.7,10,3.43,2,False
NY,100,510,yes,yes,12,91.8,6,15.61,233.9,12,19.88,203.2,45,9.14,4.0,3,1.08,9,True
RI,31,415,no,no,0,178.9,124,30.41,215.5,8,18.32,197.4,74,8.88,8.4,2,2.27,8,False
WI,130,415,no,no,0,150.7,150,25.62,138.5,145,11.77,203.0,129,9.14,7.7,15,2.08,8,False
NY,16,510,no,no,0,178.7,84,30.38,260.0,162,22.1,197.8,104,8.9,6.6,1,1.78,7,False
AR,137,415,no,yes,11,241.9,62,41.12,265.6,131,22.58,179.9,53,8.1,8.6,4,2.32,7,False
NJ,73,408,no,no,0,104.6,122,17.78,184.2,168,15.66,121.4,107,5.46,10.8,17,2.92,1,False
OR,166,415,no,no,0,193.2,88,32.84,159.7,25,13.57,196.0,58,8.82,13.7,2,3.7,5,False
MN,203,415,no,no,0,149.5,94,25.42,239.5,124,20.36,255.0,32,11.48,12.9,1,3.48,3,False
RI,286,510,no,no,0,243.6,118,41.41,108.2,43,9.2,297.9,21,13.41,5.5,1,1.48,9,False
VT,184,408,no,no,0,202.7,43,34.46,221.3,169,18.81,187.1,46,8.42,16.4,20,4.43,1,False
IA,214,510,no,no,0,171.5,101,29.16,277.3,9,23.57,193.0,133,8.68,13.5,1,3.65,1,False
TX,225,415,no,yes,13,141.2,44,24.0,181.6,104,15.44,227.0,23,10.22,10.1,15,2.73,9,False
NH,100,415,no,no,0,323.5,116,55.0,213.4,105,18.14,280.6,116,12.63,13.8,0,3.73,6,True
OK,109,510,no,no,0,195.1,50,33.17,206.2,0,17.53,173.7,125,7.82,7.4,18,2.0,0,False
IL,87,510,no,no,0,103.3,64,17.56,254.2,143,21.61,237.4,50,10.68,12.4,18,3.35,7,False
NY,173,510,no,yes,37,136.2,53,23.15,206.4,45,17.54,155.6,117,7.0,4.6,8,1.24,4,False
CT,237,408,no,no,0,202.3,71,34.39,183.5,140,15.6,217.8,40,9.8,9.1,19,2.46,9,False
MI,162,415,no,no,0,140.6,119,23.9,123.5,63,10.5,252.4,66,11.36,13.8,8,3.73,7,False
NV,137,510,no,no,0,147.2,142,25.02,205.8,77,17.49,130.3,88,5.86,8.7,10,2.35,1,False
AK,216,415,no,no,0,233.2,18,39.64,197.4,86,16.78,171.6,91,7.72,8.8,0,2.38,0,False
TN,8,408,no,no,0,228.5,9,38.85,97.2,62,8.26,251.6,120,11.32,8.3,18,2.24,1,False
VT,7,408,no,no,0,149.2,15,25.36,149.7,145,12.72,233.3,80,10.5,9.4,16,2.54,5,False
CO,36,408,no,no,0,243.2,158,41.34,170.5,60,14.49,255.9,129,11.52,7.2,5,1.94,3,False
NV,18,408,no,yes,15,141.6,107,24.07,170.5,91,14.49,245.8,90,11.06,14.4,0,3.89,7,False
NV,3,415,no,no,0,271.5,15,46.16,199.6,122,16.97,181.6,99,8.17,6.6,17,1.78,8,False
UT,28,408,no,no,0,209.0,79,35.53,195.4,19,16.61,318.8,77,14.35,10.9,8,2.94,8,False
UT,70,408,no,no,0,195.7,27,33.27,197.8,63,16.81,207.4,42,9.33,12.4,0,3.35,4,False
MD,236,510,no,no,0,159.2,147,27.06,316.2,75,26.88,35.0,122,1.58,7.9,3,2.13,5,False
NJ,172,408,no,yes,45,147.1,162,25.01,178.5,106,15.17,184.8,31,8.32,5.9,17,1.59,6,False
HI,149,510,no,no,0,54.4,8,9.25,156.7,140,13.32,174.7,139,7.86,8.4,16,2.27,3,False
NV,28,408,no,no,0,164.1,103,27.9,280.9,56,23.88,242.9,22,10.93,8.9,19,2.4,9,True
MO,232,408,no,no,0,179.4,137,30.5,275.7,44,23.43,175.6,143,7.9,12.6,18,3.4,2,False
RI,54,510,no,yes,43,81.4,44,13.84,145.8,119,12.39,259.3,171,11.67,9.6,13,2.59,1,False
NC,182,408,no,no,0,224.5,108,38.17,262.9,85,22.35,230.1,1,10.35,10.0,6,2.7,9,False
AL,65,415,no,no,0,171.3,142,29.12,106.8,37,9.08,146.0,6,6.57,6.1,8,1.65,3,False
NE,100,415,no,no,0,245.6,29,41.75,347.4,163,29.53,192.4,20,8.66,9.5,19,2.57,8,False
IL,21,408,no,no,0,143.1,47,24.33,291.9,66,24.81,158.1,94,7.11,14.0,8,3.78,4,False
SD,235,415,no,no,0,246.8,90,41.96,228.1,120,19.39,210.0,150,9.45,13.1,14,3.54,0,False
AZ,227,510,no,no,0,155.8,90,26.49,244.8,125,20.81,157.8,125,7.1,8.6,10,2.32,4,False
RI,13,408,no,no,0,177.3,73,30.14,223.6,10,19.01,204.0,120,9.18,12.3,6,3.32,5,False
CO,57,408,no,no,0,191.6,43,32.57,167.4,97,14.23,185.3,24,8.34,9.6,5,2.59,9,False
DE,49,510,no,no,0,177.8,133,30.23,262.0,154,22.27,191.8,34,8.63,11.4,8,3.08,5,False
NE,118,510,no,no,0,196.4,116,33.39,270.2,86,22.97,310.8,172,13.99,9.2,3,2.48,4,False
FL,54,510,no,no,0,76.1,23,12.94,163.9,144,13.93,180.5,134,8.12,7.3,16,1.97,7,False
OR,138,408,no,yes,26,172.5,6,29.33,199.4,121,16.95,95.5,31,4.3,7.2,5,1.94,4,False
NC,53,510,no,no,0,175.7,5,29.87,138.1,97,11.74,254.9,52,11.47,11.5,16,3.11,9,False
TN,44,510,no,no,0,72.7,117,12.36,198.6,32,16.88,254.4,68,11.45,2.6,13,0.7,2,False
UT,47,415,no,yes,39,214.7,160,36.5,187.4,132,15.93,93.1,24,4.19,13.0,4,3.51,2,False
MS,53,415,no,yes,16,130.8,84,22.24,264.9,122,22.52,162.2,94,7.3,9.3,17,2.51,3,False
IA,74,408,no,yes,32,230.9,109,39.25,282.6,80,24.02,223.5,85,10.06,8.2,7,2.21,9,False
NY,46,415,no,no,0,184.6,144,31.38,146.8,61,12.48,228.3,101,10.27,12.8,9,3.46,7,False
NY,13,415,no,no,0,149.0,30,25.33,240.2,64,20.42,199.7,76,8.99,2.3,10,0.62,8,False
MS,165,510,no,yes,46,234.3,164,39.83,245.9,124,20.9,201.0,129,9.04,11.3,2,3.05,6,False
SD,102,510,yes,no,0,269.7,138,45.85,111.9,89,9.51,149.3,85,6.72,14.6,1,3.94,1,False
WI,24,415,no,no,0,182.1,132,30.96,250.2,43,21.27,70.4,60,3.17,6.2,13,1.67,8,False
WI,2,415,no,no,0,254.2,63,43.21,125.6,120,10.68,310.7,136,13.98,8.7,3,2.35,5,False
ID,214,415,no,no,0,170.5,75,28.99,174.9,141,14.87,147.7,50,6.65,11.3,16,3.05,5,False
RI,81,408,no,no,0,232.0,130,39.44,155.0,90,13.18,209.5,1,9.43,5.6,16,1.51,5,False
AK,100,408,no,no,0,160.2,55,27.23,120.9,56,10.28,191.4,172,8.61,10.7,20,2.89,0,True
AZ,142,408,no,yes,3,278.6,62,47.36,257.3,47,21.87,248.4,31,11.18,17.5,8,4.73,8,False
WI,138,415,no,yes,19,238.2,104,40.49,152.9,144,13.0,206.2,79,9.28,10.9,20,2.94,5,False
OR,163,415,no,no,0,205.4,37,34.92,180.8,43,15.37,208.3,96,9.37,10.8,8,2.92,6,True
WI,153,408,no,no,0,43.2,53,7.34,200.7,131,17.06,57.7,74,2.6,6.6,2,1.78,0,False
KY,131,408,no,no,0,204.2,129,34.71,238.9,80,20.31,155.0,159,6.98,13.7,3,3.7,4,False
WI,111,415,no,yes,39,113.3,1,19.26,151.6,96,12.89,240.2,7,10.81,2.4,1,0.65,2,False
AK,102,510,no,yes,43,199.1,139,33.85,225.9,29,19.2,235.4,84,10.59,9.9,13,2.67,8,False
AK,17,408,no,no,0,249.0,39,42.33,189.2,120,16.08,148.6,120,6.69,12.6,19,3.4,1,False
NV,12,415,no,no,0,217.2,1,36.92,149.6,84,12.72,114.8,19,5.17,3.0,7,0.81,3,True
MN,182,415,no,no,0,226.4,104,38.49,253.0,157,21.51,206.8,148,9.31,4.4,17,1.19,2,False
OR,116,510,no,no,0,159.9,124,27.18,307.0,145,26.1,43.0,6,1.93,5.9,3,1.59,8,False
NY,24,415,no,no,0,97.7,79,16.61,211.4,83,17.97,138.0,120,6.21,13.8,7,3.73,2,False
NC,29,415,no,no,0,138.3,46,23.51,169.9,97,14.44,295.0,121,13.28,8.2,6,2.21,0,False
AL,171,408,no,no,0,162.2,163,27.57,163.5,91,13.9,278.0,136,12.51,12.5,14,3.38,7,False
ME,153,408,no,yes,0,179.2,131,30.46,242.1,72,20.58,226.3,85,10.18,12.1,14,3.27,0,False
AK,228,510,no,no,0,248.5,151,42.24,201.7,30,17.14,216.6,129,9.75,5.4,1,1.46,0,False
UT,122,510,no,no,0,219.5,90,37.32,146.8,108,12.48,94.7,146,4.26,8.9,3,2.4,6,False
MT,188,415,no,no,0,299.9,100,50.98,114.6,15,9.74,160.0,59,7.2,9.4,8,2.54,8,False
NY,90,408,no,no,0,125.9,129,21.4,220.4,94,18.73,184.1,68,8.28,11.4,6,3.08,3,False
CO,230,510,yes,no,0,242.9,14,41.29,136.5,76,11.6,161.2,44,7.25,10.6,17,2.86,9,False
NY,65,510,no,yes,43,227.3,48,38.64,180.5,150,15.34,181.1,61,8.15,9.8,11,2.65,3,False
AR,84,510,no,yes,30,173.7,111,29.53,284.1,141,24.15,270.2,137,12.16,13.3,13,3.59,4,False
HI,119,415,no,yes,9,128.1,34,21.78,158.6,1,13.48,170.7,122,7.68,13.2,6,3.56,4,False
KY,156,408,no,yes,48,146.8,115,24.96,254.7,139,21.65,181.6,25,8.17,5.9,5,1.59,1,False
PA,16,510,no,no,0,144.2,93,24.51,148.9,127,12.66,239.9,17,10.8,8.7,18,2.35,8,False
MS,175,408,no,no,0,272.4,23,46.31,245.6,91,20.88,123.3,58,5.55,10.1,20,2.73,9,False
CA,209,510,no,yes,5,224.7,59,38.2,230.3,23,19.58,154.6,148,6.96,33.16856044541483,18,8.96,8,False
ND,104,510,no,no,0,226.7,76,38.54,225.9,36,19.2,160.2,45,7.21,11.5,14,3.11,8,False
CO,92,408,yes,no,0,184.7,47,31.4,170.0,28,14.45,203.0,11,9.14,11.0,18,2.97,8,False
